# Title: January - December 2025 Contiguous U.S. County Average Temperature
# Units: Degrees Fahrenheit
# Note: Period of Record: 131 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,65.4,114,1.5,63.9
AL-003,Baldwin County,Alabama,68.5,119,1.7,66.8
AL-005,Barbour County,Alabama,66,111,1.2,64.8
AL-007,Bibb County,Alabama,64.4,117,1.6,62.7
AL-009,Blount County,Alabama,62.3,112,1.6,60.6
AL-011,Bullock County,Alabama,65.5,114,1.3,64.1
AL-013,Butler County,Alabama,66.1,115,1.5,64.6
AL-015,Calhoun County,Alabama,62.5,112,1.5,61
AL-017,Chambers County,Alabama,63.4,119,1.8,61.6
AL-019,Cherokee County,Alabama,61.7,105,1.1,60.6
AL-021,Chilton County,Alabama,64.2,118,1.5,62.7
AL-023,Choctaw County,Alabama,66.2,119,1.7,64.5
AL-025,Clarke County,Alabama,67.1,127,2.2,64.9
AL-027,Clay County,Alabama,62.1,114,1.4,60.7
AL-029,Cleburne County,Alabama,61.7,114,1.8,59.9
AL-031,Coffee County,Alabama,66.8,115,1.4,65.4
AL-033,Colbert County,Alabama,61.9,122,2,59.9
AL-035,Conecuh County,Alabama,66.6,108,1.2,65.4
AL-037,Coosa County,Alabama,63.5,114,1.2,62.3
AL-039,Covington County,Alabama,67,118,1.4,65.6
AL-041,Crenshaw County,Alabama,65.8,114,1.4,64.4
AL-043,Cullman County,Alabama,62,116,1.7,60.3
AL-045,Dale County,Alabama,67,115,1.3,65.7
AL-047,Dallas County,Alabama,66.1,117,1.7,64.3
AL-049,DeKalb County,Alabama,59.8,82,0.5,59.3
AL-051,Elmore County,Alabama,65,114,1.2,63.8
AL-053,Escambia County,Alabama,67.2,110,1.2,66
AL-055,Etowah County,Alabama,62.2,110,1.3,60.9
AL-057,Fayette County,Alabama,63.9,121,1.9,62
AL-059,Franklin County,Alabama,61.8,119,1.9,59.9
AL-061,Geneva County,Alabama,67.6,115,1.5,66.1
AL-063,Greene County,Alabama,65.1,115,1.3,63.8
