# Title: August 2025 Contiguous U.S. County Maximum Temperature
# Units: Degrees Fahrenheit
# Note: Period of Record: 131 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,89.1,25,-2,91.1
AL-003,Baldwin County,Alabama,89.1,30,-1.4,90.5
AL-005,Barbour County,Alabama,88.2,14,-2.5,90.7
AL-007,Bibb County,Alabama,88.4,19,-2.7,91.1
AL-009,Blount County,Alabama,85.7,5,-4.1,89.8
AL-011,Bullock County,Alabama,88.5,17,-2.2,90.7
AL-013,Butler County,Alabama,89.4,34,-1.5,90.9
AL-015,Calhoun County,Alabama,85.5,3,-4.4,89.9
AL-017,Chambers County,Alabama,86.5,7,-3,89.5
AL-019,Cherokee County,Alabama,85,3,-5,90
AL-021,Chilton County,Alabama,87.3,6,-3.4,90.7
AL-023,Choctaw County,Alabama,89.9,27,-1.7,91.6
AL-025,Clarke County,Alabama,90.5,50,-0.9,91.4
AL-027,Clay County,Alabama,85.2,5,-3.7,88.9
AL-029,Cleburne County,Alabama,84.1,3,-4.6,88.7
AL-031,Coffee County,Alabama,89.4,36,-1.4,90.8
AL-033,Colbert County,Alabama,88.3,30,-2.3,90.6
AL-035,Conecuh County,Alabama,89.6,23,-1.8,91.4
AL-037,Coosa County,Alabama,86.6,5,-3.6,90.2
AL-039,Covington County,Alabama,89.8,27,-1.7,91.5
AL-041,Crenshaw County,Alabama,89.5,40,-1.3,90.8
AL-043,Cullman County,Alabama,85.5,5,-4.4,89.9
AL-045,Dale County,Alabama,88.9,27,-1.6,90.5
AL-047,Dallas County,Alabama,90,40,-1,91
AL-049,DeKalb County,Alabama,82.4,3,-5.4,87.8
AL-051,Elmore County,Alabama,88,6,-3.2,91.2
AL-053,Escambia County,Alabama,89.6,24,-2,91.6
AL-055,Etowah County,Alabama,85.3,3,-4.3,89.6
AL-057,Fayette County,Alabama,89.2,34,-2.1,91.3
AL-059,Franklin County,Alabama,87.3,21,-2.7,90
AL-061,Geneva County,Alabama,89.4,24,-1.6,91
AL-063,Greene County,Alabama,89.6,25,-2.1,91.7
AL-065,Hale County,Alabama,89.9,42,-1.2,91.1
AL-067,Henry County,Alabama,88.4,16,-2.2,90.6
AL-069,Houston County,Alabama,89.1,17,-1.8,90.9
AL-071,Jackson County,Alabama,84.4,7,-3.9,88.3
AL-073,Jefferson County,Alabama,88.2,28,-2.5,90.7
AL-075,Lamar County,Alabama,89.6,35,-2,91.6
AL-077,Lauderdale County,Alabama,88.4,36,-2,90.4
AL-079,Lawrence County,Alabama,87.6,30,-2.4,90
AL-081,Lee County,Alabama,87.2,9,-2.9,90.1
AL-083,Limestone County,Alabama,87.5,31,-2.5,90
AL-085,Lowndes County,Alabama,90.1,46,-1.1,91.2
AL-087,Macon County,Alabama,88.2,7,-2.9,91.1
AL-089,Madison County,Alabama,86.8,17,-2.9,89.7
AL-091,Marengo County,Alabama,90,40,-1.2,91.2
AL-093,Marion County,Alabama,88.4,35,-2.1,90.5
AL-095,Marshall County,Alabama,84.9,5,-4,88.9
AL-097,Mobile County,Alabama,89.6,44,-0.9,90.5
AL-099,Monroe County,Alabama,90,40,-1.2,91.2
AL-101,Montgomery County,Alabama,89.8,35,-1.6,91.4
AL-103,Morgan County,Alabama,86.6,14,-3.3,89.9
AL-105,Perry County,Alabama,89.4,35,-1.4,90.8
AL-107,Pickens County,Alabama,89.5,25,-2.3,91.8
AL-109,Pike County,Alabama,89.3,35,-1.5,90.8
AL-111,Randolph County,Alabama,85.1,5,-3.8,88.9
AL-113,Russell County,Alabama,88,9,-2.9,90.9
AL-115,St. Clair County,Alabama,86.5,6,-3.6,90.1
AL-117,Shelby County,Alabama,87.4,7,-3.3,90.7
AL-119,Sumter County,Alabama,89.5,26,-2.1,91.6
AL-121,Talladega County,Alabama,86.8,6,-3.6,90.4
AL-123,Tallapoosa County,Alabama,86.8,6,-3.5,90.3
AL-125,Tuscaloosa County,Alabama,89.2,29,-2.5,91.7
AL-127,Walker County,Alabama,88.2,24,-2.7,90.9
