# Title: July 2025 Contiguous U.S. County Maximum Temperature
# Units: Degrees Fahrenheit
# Note: Period of Record: 131 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,93.5,111,1.8,91.7
AL-003,Baldwin County,Alabama,91.7,102,1,90.7
AL-005,Barbour County,Alabama,93.3,110,2.1,91.2
AL-007,Bibb County,Alabama,92.8,104,1.4,91.4
AL-009,Blount County,Alabama,90.4,74,0,90.4
AL-011,Bullock County,Alabama,93,105,1.8,91.2
AL-013,Butler County,Alabama,92.3,93,0.8,91.5
AL-015,Calhoun County,Alabama,91.1,88,0.7,90.4
AL-017,Chambers County,Alabama,92.2,111,2,90.2
AL-019,Cherokee County,Alabama,90.4,69,-0.2,90.6
AL-021,Chilton County,Alabama,92,92,0.9,91.1
AL-023,Choctaw County,Alabama,92.9,97,1,91.9
AL-025,Clarke County,Alabama,93,101,1.1,91.9
AL-027,Clay County,Alabama,90.7,97,1.2,89.5
AL-029,Cleburne County,Alabama,90,90,0.7,89.3
AL-031,Coffee County,Alabama,92.9,107,1.6,91.3
AL-033,Colbert County,Alabama,92,92,0.9,91.1
AL-035,Conecuh County,Alabama,92.3,84,0.5,91.8
AL-037,Coosa County,Alabama,91.6,95,1,90.6
AL-039,Covington County,Alabama,93,102,1,92
AL-041,Crenshaw County,Alabama,92.4,94,1.1,91.3
AL-043,Cullman County,Alabama,90.2,66,-0.3,90.5
AL-045,Dale County,Alabama,93.1,112,2.1,91
AL-047,Dallas County,Alabama,94,120,2.5,91.5
AL-049,DeKalb County,Alabama,88.1,62,-0.3,88.4
AL-051,Elmore County,Alabama,92.8,100,1.2,91.6
AL-053,Escambia County,Alabama,92.3,84,0.4,91.9
AL-055,Etowah County,Alabama,90.7,84,0.5,90.2
AL-057,Fayette County,Alabama,92.6,90,1,91.6
AL-059,Franklin County,Alabama,91,87,0.6,90.4
AL-061,Geneva County,Alabama,93.2,108,1.8,91.4
AL-063,Greene County,Alabama,92.9,93,0.9,92
AL-065,Hale County,Alabama,93.6,113,2.1,91.5
AL-067,Henry County,Alabama,93.2,110,2.2,91
AL-069,Houston County,Alabama,93.6,116,2.2,91.4
AL-071,Jackson County,Alabama,89.6,88,0.7,88.9
AL-073,Jefferson County,Alabama,92,90,0.9,91.1
AL-075,Lamar County,Alabama,92.8,88,1,91.8
AL-077,Lauderdale County,Alabama,91.8,93,0.9,90.9
AL-079,Lawrence County,Alabama,91.4,94,0.9,90.5
AL-081,Lee County,Alabama,93.2,116,2.7,90.6
AL-083,Limestone County,Alabama,91.4,92,0.9,90.5
AL-085,Lowndes County,Alabama,93.7,110,1.9,91.8
AL-087,Macon County,Alabama,93.4,112,1.9,91.5
AL-089,Madison County,Alabama,91.2,94,0.9,90.3
AL-091,Marengo County,Alabama,93.5,110,1.8,91.7
AL-093,Marion County,Alabama,91.7,88,0.9,90.8
AL-095,Marshall County,Alabama,89.8,78,0.3,89.5
AL-097,Mobile County,Alabama,92.1,109,1.4,90.7
AL-099,Monroe County,Alabama,92.5,96,0.8,91.7
AL-101,Montgomery County,Alabama,93.3,104,1.5,91.8
AL-103,Morgan County,Alabama,91,84,0.5,90.5
AL-105,Perry County,Alabama,93.4,115,2.2,91.2
AL-107,Pickens County,Alabama,92.7,87,0.6,92.1
AL-109,Pike County,Alabama,92.6,101,1.4,91.2
AL-111,Randolph County,Alabama,90.9,100,1.3,89.6
AL-113,Russell County,Alabama,94.1,117,2.7,91.4
AL-115,St. Clair County,Alabama,91.4,87,0.8,90.7
AL-117,Shelby County,Alabama,91.9,91,0.8,91.1
AL-119,Sumter County,Alabama,92.5,84,0.6,91.9
AL-121,Talladega County,Alabama,92,96,1.1,90.9
AL-123,Tallapoosa County,Alabama,92.1,98,1.3,90.8
AL-125,Tuscaloosa County,Alabama,93,92,1,92
AL-127,Walker County,Alabama,92,82,0.7,91.3
AL-129,Washington County,Alabama,93,96,0.9,92.1
AL-131,Wilcox County,Alabama,93.5,111,1.8,91.7
AL-133,Winston County,Alabama,90.7,80,0.5,90.2
AZ-001,Apache County,Arizona,88.6,119,3,85.6
AZ-003,Cochise County,Arizona,93.1,96,1.4,91.7
AZ-005,Coconino County,Arizona,91.2,110,2.8,88.4
AZ-007,Gila County,Arizona,94.4,106,2.3,92.1
AZ-009,Graham County,Arizona,94.2,108,2,92.2
AZ-011,Greenlee County,Arizona,89.6,111,2.3,87.3
AZ-012,La Paz County,Arizona,106.1,88,1.1,105
AZ-013,Maricopa County,Arizona,105.7,116,2.7,103
AZ-015,Mohave County,Arizona,97.3,81,0.9,96.4
AZ-017,Navajo County,Arizona,91.5,119,3.5,88
AZ-019,Pima County,Arizona,100.7,106,2,98.7
AZ-021,Pinal County,Arizona,102.7,104,2,100.7
AZ-023,Santa Cruz County,Arizona,92,103,2.2,89.8
AZ-025,Yavapai County,Arizona,95.1,108,2.4,92.7
AZ-027,Yuma County,Arizona,106.9,112,2.4,104.5
AR-001,Arkansas County,Arkansas,92.9,92,0.7,92.2
AR-003,Ashley County,Arkansas,95,114,2.4,92.6
AR-005,Baxter County,Arkansas,91.1,88,0.7,90.4
AR-007,Benton County,Arkansas,90.3,88,0.8,89.5
AR-009,Boone County,Arkansas,90.6,92,1.2,89.4
AR-011,Bradley County,Arkansas,94.5,104,1.6,92.9
AR-013,Calhoun County,Arkansas,94.1,95,1,93.1
AR-015,Carroll County,Arkansas,90.1,94,1.1,89
AR-017,Chicot County,Arkansas,94.9,115,2.2,92.7
AR-019,Clark County,Arkansas,94,89,0.7,93.3
AR-021,Clay County,Arkansas,93.3,100,1.5,91.8
AR-023,Cleburne County,Arkansas,91.4,94,1,90.4
AR-025,Cleveland County,Arkansas,94.4,105,1.6,92.8
AR-027,Columbia County,Arkansas,93.1,76,-0,93.1
AR-029,Conway County,Arkansas,93.8,98,1.3,92.5
AR-031,Craighead County,Arkansas,93.6,110,2,91.6
AR-033,Crawford County,Arkansas,92,86,0.7,91.3
AR-035,Crittenden County,Arkansas,94,113,2.2,91.8
AR-037,Cross County,Arkansas,93.8,112,2.1,91.7
AR-039,Dallas County,Arkansas,94.2,98,1.2,93
AR-041,Desha County,Arkansas,92.9,87,0.4,92.5
AR-043,Drew County,Arkansas,94.3,106,1.7,92.6
AR-045,Faulkner County,Arkansas,93.8,95,1.4,92.4
AR-047,Franklin County,Arkansas,91.6,84,0.5,91.1
AR-049,Fulton County,Arkansas,91.3,97,1.4,89.9
AR-051,Garland County,Arkansas,92.5,81,0.4,92.1
AR-053,Grant County,Arkansas,94.6,103,1.5,93.1
AR-055,Greene County,Arkansas,93.2,105,1.7,91.5
AR-057,Hempstead County,Arkansas,92.8,68,-0.3,93.1
AR-059,Hot Spring County,Arkansas,93.7,89,0.8,92.9
AR-061,Howard County,Arkansas,92,67,-0.1,92.1
AR-063,Independence County,Arkansas,91.5,91,0.8,90.7
AR-065,Izard County,Arkansas,91.1,89,0.7,90.4
AR-067,Jackson County,Arkansas,92.6,107,1.4,91.2
AR-069,Jefferson County,Arkansas,94,101,1.4,92.6
AR-071,Johnson County,Arkansas,91.1,87,0.8,90.3
AR-073,Lafayette County,Arkansas,93.4,73,-0,93.4
AR-075,Lawrence County,Arkansas,92.7,103,1.5,91.2
AR-077,Lee County,Arkansas,93.7,111,2,91.7
AR-079,Lincoln County,Arkansas,93.8,100,1.2,92.6
AR-081,Little River County,Arkansas,93.2,76,0.4,92.8
AR-083,Logan County,Arkansas,93.1,87,0.8,92.4
AR-085,Lonoke County,Arkansas,93.5,95,0.9,92.6
AR-087,Madison County,Arkansas,88.5,84,0.8,87.7
AR-089,Marion County,Arkansas,91.5,93,1.1,90.4
AR-091,Miller County,Arkansas,93.6,78,0.3,93.3
AR-093,Mississippi County,Arkansas,92.6,98,1,91.6
AR-095,Monroe County,Arkansas,92.9,100,1.1,91.8
AR-097,Montgomery County,Arkansas,91.6,75,-0,91.6
AR-099,Nevada County,Arkansas,93,70,-0.2,93.2
AR-101,Newton County,Arkansas,88.8,93,1.1,87.7
AR-103,Ouachita County,Arkansas,93.7,87,0.4,93.3
AR-105,Perry County,Arkansas,93.6,95,0.9,92.7
AR-107,Phillips County,Arkansas,93.6,109,1.8,91.8
AR-109,Pike County,Arkansas,92.4,71,-0,92.4
AR-111,Poinsett County,Arkansas,93.8,113,2.2,91.6
AR-113,Polk County,Arkansas,90.3,75,0.1,90.2
AR-115,Pope County,Arkansas,92.4,96,1.2,91.2
AR-117,Prairie County,Arkansas,92.8,91,0.6,92.2
AR-119,Pulaski County,Arkansas,93.9,94,1.1,92.8
AR-121,Randolph County,Arkansas,93.1,107,1.9,91.2
AR-123,St. Francis County,Arkansas,93.7,111,2,91.7
AR-125,Saline County,Arkansas,93.6,97,1.1,92.5
AR-127,Scott County,Arkansas,92.3,94,0.9,91.4
AR-129,Searcy County,Arkansas,90.6,96,1.3,89.3
AR-131,Sebastian County,Arkansas,93.5,91,0.9,92.6
AR-133,Sevier County,Arkansas,92.5,69,0.3,92.2
AR-135,Sharp County,Arkansas,91.4,94,1,90.4
AR-137,Stone County,Arkansas,90.6,90,0.8,89.8
AR-139,Union County,Arkansas,94.1,93,1.2,92.9
AR-141,Van Buren County,Arkansas,91.4,97,1.3,90.2
AR-143,Washington County,Arkansas,89.8,83,0.8,89
AR-145,White County,Arkansas,92.9,101,1.3,91.6
AR-147,Woodruff County,Arkansas,92.9,107,1.2,91.7
AR-149,Yell County,Arkansas,93.4,92,0.9,92.5
CA-001,Alameda County,California,80.6,26,-1.7,82.3
CA-003,Alpine County,California,75.5,66,0.5,75
CA-005,Amador County,California,88.7,34,-1.7,90.4
CA-007,Butte County,California,91.9,51,-0.4,92.3
CA-009,Calaveras County,California,89.5,30,-1.7,91.2
CA-011,Colusa County,California,93.5,27,-1.9,95.4
CA-013,Contra Costa County,California,83.1,23,-2,85.1
CA-015,Del Norte County,California,82.1,118,4.6,77.6
CA-017,El Dorado County,California,83.8,28,-2,85.8
CA-019,Fresno County,California,87.5,41,-0.7,88.2
CA-021,Glenn County,California,91.9,28,-1.8,93.7
CA-023,Humboldt County,California,81.8,106,2.8,79
CA-025,Imperial County,California,107.6,99,1.7,105.9
CA-027,Inyo County,California,95,43,-0.6,95.6
CA-029,Kern County,California,93.8,35,-1.3,95.1
CA-031,Kings County,California,96.9,47,-0.7,97.6
CA-033,Lake County,California,86.7,20,-2.6,89.3
CA-035,Lassen County,California,85.2,81,1.4,83.8
CA-037,Los Angeles County,California,86.4,32,-1.1,87.5
CA-039,Madera County,California,88.2,34,-1.5,89.7
CA-041,Marin County,California,68.6,19,-2.3,70.9
CA-043,Mariposa County,California,87.5,38,-1.1,88.6
CA-045,Mendocino County,California,81.5,28,-1.7,83.2
CA-047,Merced County,California,92.3,32,-1.5,93.8
CA-049,Modoc County,California,85.8,103,3,82.8
CA-051,Mono County,California,80.6,91,1.7,78.9
CA-053,Monterey County,California,83.2,7,-2.6,85.8
CA-055,Napa County,California,85.3,6,-3.4,88.7
CA-057,Nevada County,California,84.1,55,-0.1,84.2
CA-059,Orange County,California,81,34,-1.2,82.2
CA-061,Placer County,California,84.8,43,-0.9,85.7
CA-063,Plumas County,California,83.4,85,1.5,81.9
CA-065,Riverside County,California,100.4,86,1.1,99.3
CA-067,Sacramento County,California,91.5,27,-1.8,93.3
CA-069,San Benito County,California,86.1,22,-1.9,88
CA-071,San Bernardino County,California,99.8,61,0.4,99.4
CA-073,San Diego County,California,89.2,53,0,89.2
CA-075,San Francisco County,California,67.6,22,-1.7,69.3
CA-077,San Joaquin County,California,91.6,40,-0.9,92.5
CA-079,San Luis Obispo County,California,85.6,25,-1.7,87.3
CA-081,San Mateo County,California,70.8,15,-2.2,73
CA-083,Santa Barbara County,California,80.3,51,-0.2,80.5
CA-085,Santa Clara County,California,80.9,16,-2,82.9
CA-087,Santa Cruz County,California,73.5,10,-2.7,76.2
CA-089,Shasta County,California,91.3,88,2.2,89.1
CA-091,Sierra County,California,81.3,74,1.1,80.2
CA-093,Siskiyou County,California,85.4,109,3.9,81.5
CA-095,Solano County,California,86.7,18,-2.1,88.8
CA-097,Sonoma County,California,75.3,2,-4.4,79.7
CA-099,Stanislaus County,California,91.8,39,-1,92.8
CA-101,Sutter County,California,95.2,49,-0.7,95.9
CA-103,Tehama County,California,90.8,43,-1,91.8
CA-105,Trinity County,California,89.1,102,3.2,85.9
CA-107,Tulare County,California,85.5,36,-1.3,86.8
CA-109,Tuolumne County,California,81.8,58,-0.2,82
CA-111,Ventura County,California,81.4,31,-1.3,82.7
CA-113,Yolo County,California,93.1,32,-1.6,94.7
CA-115,Yuba County,California,92.6,50,-0.2,92.8
CO-001,Adams County,Colorado,91,103,2.6,88.4
CO-003,Alamosa County,Colorado,82.4,107,2.3,80.1
CO-005,Arapahoe County,Colorado,89.8,103,2.5,87.3
CO-007,Archuleta County,Colorado,81.5,110,2.2,79.3
CO-009,Baca County,Colorado,91,54,-0.4,91.4
CO-011,Bent County,Colorado,93.3,91,1.3,92
CO-013,Boulder County,Colorado,82.2,112,2.7,79.5
CO-014,Broomfield County,Colorado,91,115,3.3,87.7
CO-015,Chaffee County,Colorado,73.3,97,1.6,71.7
CO-017,Cheyenne County,Colorado,90.2,76,1.1,89.1
CO-019,Clear Creek County,Colorado,71.3,106,2.2,69.1
CO-021,Conejos County,Colorado,75.9,99,1.7,74.2
CO-023,Costilla County,Colorado,78.3,102,2,76.3
CO-025,Crowley County,Colorado,93.1,102,2.4,90.7
