# Title: June 2025 Contiguous U.S. County Maximum Temperature
# Units: Degrees Fahrenheit
# Note: Period of Record: 131 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,89.8,65,-0.1,89.9
AL-003,Baldwin County,Alabama,89.2,60,-0.3,89.5
AL-005,Barbour County,Alabama,89.3,54,-0.7,90
AL-007,Bibb County,Alabama,88.7,53,-0.9,89.6
AL-009,Blount County,Alabama,86.6,45,-1.5,88.1
AL-011,Bullock County,Alabama,88.9,53,-0.9,89.8
AL-013,Butler County,Alabama,90.1,66,0,90.1
AL-015,Calhoun County,Alabama,86.6,39,-1.6,88.2
AL-017,Chambers County,Alabama,87.6,49,-1.1,88.7
AL-019,Cherokee County,Alabama,86.5,39,-1.7,88.2
AL-021,Chilton County,Alabama,88.5,52,-0.9,89.4
AL-023,Choctaw County,Alabama,90.1,58,-0.4,90.5
AL-025,Clarke County,Alabama,90.5,73,-0.1,90.6
AL-027,Clay County,Alabama,86.2,42,-1.4,87.6
AL-029,Cleburne County,Alabama,85.6,39,-1.6,87.2
AL-031,Coffee County,Alabama,90.2,66,-0.2,90.4
AL-033,Colbert County,Alabama,87.5,59,-0.8,88.3
AL-035,Conecuh County,Alabama,89.6,47,-1.1,90.7
AL-037,Coosa County,Alabama,87.7,47,-1.2,88.9
AL-039,Covington County,Alabama,90.4,56,-0.6,91
AL-041,Crenshaw County,Alabama,90,65,-0,90
AL-043,Cullman County,Alabama,86.5,45,-1.5,88
AL-045,Dale County,Alabama,90.2,70,0.1,90.1
AL-047,Dallas County,Alabama,90.5,79,0.6,89.9
AL-049,DeKalb County,Alabama,84.4,42,-1.6,86
AL-051,Elmore County,Alabama,88.9,48,-1.1,90
AL-053,Escambia County,Alabama,89.4,38,-1.6,91
AL-055,Etowah County,Alabama,87,49,-0.9,87.9
AL-057,Fayette County,Alabama,88.6,64,-0.6,89.2
AL-059,Franklin County,Alabama,86.8,55,-0.8,87.6
AL-061,Geneva County,Alabama,90.8,71,0.2,90.6
AL-063,Greene County,Alabama,89,51,-1.1,90.1
AL-065,Hale County,Alabama,89.5,64,-0.3,89.8
AL-067,Henry County,Alabama,90.1,68,-0.1,90.2
AL-069,Houston County,Alabama,91.4,83,0.8,90.6
AL-071,Jackson County,Alabama,85.8,58,-0.7,86.5
AL-073,Jefferson County,Alabama,87.7,46,-1.3,89
AL-075,Lamar County,Alabama,89,69,-0.4,89.4
AL-077,Lauderdale County,Alabama,87.3,56,-0.7,88
AL-079,Lawrence County,Alabama,86.9,57,-0.8,87.7
AL-081,Lee County,Alabama,87.6,41,-1.7,89.3
AL-083,Limestone County,Alabama,86.9,53,-0.9,87.8
AL-085,Lowndes County,Alabama,90.4,75,0.4,90
AL-087,Macon County,Alabama,88.6,44,-1.6,90.2
AL-089,Madison County,Alabama,86.9,56,-0.7,87.6
AL-091,Marengo County,Alabama,90.3,78,0.2,90.1
AL-093,Marion County,Alabama,87.8,67,-0.4,88.2
AL-095,Marshall County,Alabama,86.3,51,-0.8,87.1
AL-097,Mobile County,Alabama,89.6,69,0.1,89.5
AL-099,Monroe County,Alabama,89.9,56,-0.6,90.5
AL-101,Montgomery County,Alabama,90,67,-0.2,90.2
AL-103,Morgan County,Alabama,86.9,50,-1,87.9
AL-105,Perry County,Alabama,89.9,77,0.4,89.5
AL-107,Pickens County,Alabama,88.7,52,-1.3,90
AL-109,Pike County,Alabama,89.6,60,-0.5,90.1
AL-111,Randolph County,Alabama,86.6,47,-1.3,87.9
AL-113,Russell County,Alabama,88.7,43,-1.5,90.2
AL-115,St. Clair County,Alabama,87.1,44,-1.4,88.5
AL-117,Shelby County,Alabama,87.8,46,-1.3,89.1
AL-119,Sumter County,Alabama,89.3,55,-0.8,90.1
AL-121,Talladega County,Alabama,87.6,46,-1.3,88.9
AL-123,Tallapoosa County,Alabama,87.6,42,-1.6,89.2
AL-125,Tuscaloosa County,Alabama,88.6,47,-1.3,89.9
AL-127,Walker County,Alabama,88,54,-0.9,88.9
AL-129,Washington County,Alabama,90.5,61,-0.5,91
AL-131,Wilcox County,Alabama,90.6,79,0.4,90.2
AL-133,Winston County,Alabama,86.7,54,-0.9,87.6
AZ-001,Apache County,Arizona,86.7,117,4.3,82.4
AZ-003,Cochise County,Arizona,95.4,114,3,92.4
AZ-005,Coconino County,Arizona,88.4,110,4.1,84.3
AZ-007,Gila County,Arizona,93.7,119,4,89.7
