# Title: December 2025 Contiguous U.S. County Minimum Temperature
# Units: Degrees Fahrenheit
# Note: Period of Record: 131 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,38.8,95,2.6,36.2
AL-003,Baldwin County,Alabama,44.2,91,2.4,41.8
AL-005,Barbour County,Alabama,39.1,79,1.4,37.7
AL-007,Bibb County,Alabama,36.2,84,1.6,34.6
AL-009,Blount County,Alabama,34.3,86,2,32.3
AL-011,Bullock County,Alabama,38.4,82,1.6,36.8
AL-013,Butler County,Alabama,38.5,81,1.3,37.2
AL-015,Calhoun County,Alabama,34.2,79,1.5,32.7
AL-017,Chambers County,Alabama,35.4,89,2.6,32.8
AL-019,Cherokee County,Alabama,33.8,81,1.7,32.1
AL-021,Chilton County,Alabama,38,98,3.3,34.7
AL-023,Choctaw County,Alabama,39.7,97,3,36.7
AL-025,Clarke County,Alabama,41.2,104,3.7,37.5
AL-027,Clay County,Alabama,34.5,86,2,32.5
AL-029,Cleburne County,Alabama,33.7,83,2,31.7
AL-031,Coffee County,Alabama,39.8,78,1.3,38.5
AL-033,Colbert County,Alabama,33.6,93,2.7,30.9
AL-035,Conecuh County,Alabama,40.3,89,2,38.3
AL-037,Coosa County,Alabama,37.2,97,3,34.2
AL-039,Covington County,Alabama,39.9,83,1.8,38.1
AL-041,Crenshaw County,Alabama,37.9,76,1.1,36.8
AL-043,Cullman County,Alabama,33.9,86,2.1,31.8
AL-045,Dale County,Alabama,40.5,79,1.2,39.3
AL-047,Dallas County,Alabama,39.5,91,2.2,37.3
AL-049,DeKalb County,Alabama,33.2,78,1.5,31.7
AL-051,Elmore County,Alabama,38.2,91,2.4,35.8
AL-053,Escambia County,Alabama,41.8,93,2.6,39.2
AL-055,Etowah County,Alabama,34.4,79,1.4,33
AL-057,Fayette County,Alabama,35.5,81,1.8,33.7
AL-059,Franklin County,Alabama,34.4,95,3,31.4
AL-061,Geneva County,Alabama,40.7,82,1.4,39.3
AL-063,Greene County,Alabama,37.7,85,1.7,36
AL-065,Hale County,Alabama,37.5,84,1.4,36.1
AL-067,Henry County,Alabama,40.6,80,1.4,39.2
AL-069,Houston County,Alabama,41.5,82,1.4,40.1
AL-071,Jackson County,Alabama,33.2,78,1.7,31.5
AL-073,Jefferson County,Alabama,35.1,80,1.5,33.6
AL-075,Lamar County,Alabama,36.4,92,2.6,33.8
AL-077,Lauderdale County,Alabama,32.8,90,2.5,30.3
AL-079,Lawrence County,Alabama,33.2,84,1.6,31.6
AL-081,Lee County,Alabama,37.3,87,2.2,35.1
AL-083,Limestone County,Alabama,33.6,90,2.4,31.2
AL-085,Lowndes County,Alabama,38.6,81,1.5,37.1
AL-087,Macon County,Alabama,38.1,85,1.9,36.2
AL-089,Madison County,Alabama,33.9,87,2.2,31.7
AL-091,Marengo County,Alabama,39.8,98,2.8,37
AL-093,Marion County,Alabama,36,102,3.6,32.4
AL-095,Marshall County,Alabama,34.2,77,1.3,32.9
AL-097,Mobile County,Alabama,44.2,101,3,41.2
AL-099,Monroe County,Alabama,41.1,99,3,38.1
AL-101,Montgomery County,Alabama,38,79,1.3,36.7
AL-103,Morgan County,Alabama,33.8,88,2,31.8
AL-105,Perry County,Alabama,38.1,88,1.9,36.2
AL-107,Pickens County,Alabama,36.2,81,1.3,34.9
AL-109,Pike County,Alabama,38.7,75,1.1,37.6
AL-111,Randolph County,Alabama,34.1,86,2.2,31.9
AL-113,Russell County,Alabama,37.8,81,1.5,36.3
AL-115,St. Clair County,Alabama,34.4,82,1.7,32.7
AL-117,Shelby County,Alabama,35.7,84,2,33.7
AL-119,Sumter County,Alabama,38.6,92,2.3,36.3
AL-121,Talladega County,Alabama,35.1,83,1.8,33.3
AL-123,Tallapoosa County,Alabama,36,90,2.6,33.4
AL-125,Tuscaloosa County,Alabama,35.6,71,0.5,35.1
AL-127,Walker County,Alabama,34.8,80,1.5,33.3
AL-129,Washington County,Alabama,41.5,103,3.7,37.8
AL-131,Wilcox County,Alabama,40.4,97,2.6,37.8
AL-133,Winston County,Alabama,33.9,86,2,31.9
AZ-001,Apache County,Arizona,24.2,125,6,18.2
AZ-003,Cochise County,Arizona,35.8,130,5.7,30.1
AZ-005,Coconino County,Arizona,29.7,131,8.9,20.8
AZ-007,Gila County,Arizona,37.2,131,7.6,29.6
AZ-009,Graham County,Arizona,38.3,129,6.7,31.6
AZ-011,Greenlee County,Arizona,34.3,129,7.2,27.1
AZ-012,La Paz County,Arizona,47.6,131,8.8,38.8
AZ-013,Maricopa County,Arizona,46.3,131,7.6,38.7
AZ-015,Mohave County,Arizona,42,131,9.6,32.4
AZ-017,Navajo County,Arizona,25.9,128,6.8,19.1
AZ-019,Pima County,Arizona,44.9,131,8.3,36.6
AZ-021,Pinal County,Arizona,44.7,131,7,37.7
AZ-023,Santa Cruz County,Arizona,36.8,130,5.8,31
AZ-025,Yavapai County,Arizona,37.7,131,8.8,28.9
AZ-027,Yuma County,Arizona,47.4,131,7.8,39.6
AR-001,Arkansas County,Arkansas,38.1,109,4.1,34
AR-003,Ashley County,Arkansas,37.7,99,2.9,34.8
AR-005,Baxter County,Arkansas,29.1,89,2.3,26.8
AR-007,Benton County,Arkansas,32.6,114,5.1,27.5
AR-009,Boone County,Arkansas,30.5,104,3.3,27.2
AR-011,Bradley County,Arkansas,37.9,111,4.1,33.8
AR-013,Calhoun County,Arkansas,37,107,3.4,33.6
AR-015,Carroll County,Arkansas,31.3,105,3.7,27.6
AR-017,Chicot County,Arkansas,38.1,100,2.6,35.5
AR-019,Clark County,Arkansas,36.1,108,3.5,32.6
AR-021,Clay County,Arkansas,32.2,97,3.2,29
AR-023,Cleburne County,Arkansas,33.8,104,3.4,30.4
AR-025,Cleveland County,Arkansas,37.7,112,4.1,33.6
AR-027,Columbia County,Arkansas,37.3,95,2.5,34.8
AR-029,Conway County,Arkansas,33.2,99,2.8,30.4
AR-031,Craighead County,Arkansas,33.4,97,2.8,30.6
AR-033,Crawford County,Arkansas,34.4,116,4.7,29.7
AR-035,Crittenden County,Arkansas,35.7,90,2.5,33.2
AR-037,Cross County,Arkansas,35,92,2.4,32.6
AR-039,Dallas County,Arkansas,36.5,108,3.3,33.2
AR-041,Desha County,Arkansas,38.9,112,4.4,34.5
AR-043,Drew County,Arkansas,38.9,113,4.4,34.5
AR-045,Faulkner County,Arkansas,34,95,2.6,31.4
AR-047,Franklin County,Arkansas,34.4,117,4.6,29.8
AR-049,Fulton County,Arkansas,29.1,100,3.1,26
AR-051,Garland County,Arkansas,35,104,3.2,31.8
AR-053,Grant County,Arkansas,36.9,112,3.9,33
AR-055,Greene County,Arkansas,32.8,97,3,29.8
AR-057,Hempstead County,Arkansas,38,118,4.5,33.5
AR-059,Hot Spring County,Arkansas,36,107,3.3,32.7
AR-061,Howard County,Arkansas,37.2,118,4.9,32.3
AR-063,Independence County,Arkansas,33.2,104,3.4,29.8
AR-065,Izard County,Arkansas,30.9,103,3.3,27.6
AR-067,Jackson County,Arkansas,33.9,100,2.9,31
AR-069,Jefferson County,Arkansas,37.8,114,4.2,33.6
AR-071,Johnson County,Arkansas,33.4,111,3.9,29.5
AR-073,Lafayette County,Arkansas,38.5,108,3.7,34.8
AR-075,Lawrence County,Arkansas,32.3,102,2.9,29.4
AR-077,Lee County,Arkansas,36,92,2.3,33.7
AR-079,Lincoln County,Arkansas,39,116,4.8,34.2
AR-081,Little River County,Arkansas,39,119,5.1,33.9
AR-083,Logan County,Arkansas,34.6,114,4,30.6
AR-085,Lonoke County,Arkansas,36,103,3.2,32.8
AR-087,Madison County,Arkansas,32.8,115,4.9,27.9
AR-089,Marion County,Arkansas,29.4,96,2.7,26.7
AR-091,Miller County,Arkansas,39.6,115,4.4,35.2
AR-093,Mississippi County,Arkansas,35.1,99,3.2,31.9
AR-095,Monroe County,Arkansas,36.4,94,2.6,33.8
AR-097,Montgomery County,Arkansas,35.3,114,4.2,31.1
AR-099,Nevada County,Arkansas,36.8,106,3.2,33.6
