# Title: February 2025 Contiguous U.S. County Minimum Temperature
# Units: Degrees Fahrenheit
# Note: Period of Record: 131 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,41.2,102,3.6,37.6
AL-003,Baldwin County,Alabama,48.2,115,5.5,42.7
AL-005,Barbour County,Alabama,44.7,119,5.9,38.8
AL-007,Bibb County,Alabama,39.6,108,4.1,35.5
AL-009,Blount County,Alabama,37.2,107,4.2,33
AL-011,Bullock County,Alabama,43.7,118,5.7,38
AL-013,Butler County,Alabama,43,111,4.6,38.4
AL-015,Calhoun County,Alabama,37.6,107,4,33.6
AL-017,Chambers County,Alabama,39.3,118,5.5,33.8
AL-019,Cherokee County,Alabama,36.1,96,3.1,33
AL-021,Chilton County,Alabama,39.6,106,3.7,35.9
AL-023,Choctaw County,Alabama,42.1,106,4.1,38
AL-025,Clarke County,Alabama,44.1,115,5.4,38.7
AL-027,Clay County,Alabama,37.5,108,4,33.5
AL-029,Cleburne County,Alabama,37.2,110,4.7,32.5
AL-031,Coffee County,Alabama,45.2,116,5.5,39.7
AL-033,Colbert County,Alabama,35.6,104,4.3,31.3
AL-035,Conecuh County,Alabama,44.6,113,5.1,39.5
AL-037,Coosa County,Alabama,39.2,109,3.9,35.3
AL-039,Covington County,Alabama,44.8,115,5.4,39.4
AL-041,Crenshaw County,Alabama,42.8,110,4.6,38.2
AL-043,Cullman County,Alabama,36.9,110,4.5,32.4
AL-045,Dale County,Alabama,46.2,119,5.8,40.4
AL-047,Dallas County,Alabama,42,98,3.3,38.7
AL-049,DeKalb County,Alabama,34.6,88,2.2,32.4
AL-051,Elmore County,Alabama,41.5,112,4.4,37.1
AL-053,Escambia County,Alabama,45.4,114,5.1,40.3
AL-055,Etowah County,Alabama,36.9,97,3.1,33.8
AL-057,Fayette County,Alabama,38.6,109,4.1,34.5
AL-059,Franklin County,Alabama,36.3,106,4.4,31.9
AL-061,Geneva County,Alabama,46.4,117,5.8,40.6
AL-063,Greene County,Alabama,40.6,103,3.5,37.1
AL-065,Hale County,Alabama,40.6,102,3.5,37.1
AL-067,Henry County,Alabama,46.5,118,6.1,40.4
AL-069,Houston County,Alabama,47.6,119,6.2,41.4
AL-071,Jackson County,Alabama,34.7,90,2.5,32.2
AL-073,Jefferson County,Alabama,38.6,109,4.3,34.3
AL-075,Lamar County,Alabama,38.7,105,4,34.7
AL-077,Lauderdale County,Alabama,34.7,102,4,30.7
AL-079,Lawrence County,Alabama,35.3,98,3.3,32
AL-081,Lee County,Alabama,42,120,6.2,35.8
AL-083,Limestone County,Alabama,34.7,91,3,31.8
AL-085,Lowndes County,Alabama,42.3,101,3.7,38.6
AL-087,Macon County,Alabama,43.3,118,5.9,37.4
AL-089,Madison County,Alabama,35,92,2.8,32.2
AL-091,Marengo County,Alabama,41.5,103,3.4,38.1
AL-093,Marion County,Alabama,37.5,111,4.5,33
AL-095,Marshall County,Alabama,36.2,90,2.7,33.5
AL-097,Mobile County,Alabama,47.3,115,5,42.3
AL-099,Monroe County,Alabama,44.8,116,5.4,39.4
AL-101,Montgomery County,Alabama,42.5,109,4.3,38.2
AL-103,Morgan County,Alabama,35.9,99,3.5,32.4
AL-105,Perry County,Alabama,40.7,102,3.4,37.4
AL-107,Pickens County,Alabama,40,107,4.1,35.9
