# Title: January 2025 Contiguous U.S. County Minimum Temperature
# Units: Degrees Fahrenheit
# Note: Period of Record: 132 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,27.5,5,-7.8,35.3
AL-003,Baldwin County,Alabama,36.2,24,-4.3,40.5
AL-005,Barbour County,Alabama,30.4,12,-6.4,36.8
AL-007,Bibb County,Alabama,27,14,-6.3,33.3
AL-009,Blount County,Alabama,26.4,23,-4.5,30.9
AL-011,Bullock County,Alabama,29.5,13,-6.4,35.9
AL-013,Butler County,Alabama,29.9,13,-6.1,36
AL-015,Calhoun County,Alabama,26.6,19,-5,31.6
AL-017,Chambers County,Alabama,26.8,18,-5.3,32.1
AL-019,Cherokee County,Alabama,25.6,15,-5.4,31
AL-021,Chilton County,Alabama,26.2,6,-7.4,33.6
AL-023,Choctaw County,Alabama,29.8,19,-5.8,35.6
AL-025,Clarke County,Alabama,31.1,19,-5.3,36.4
AL-027,Clay County,Alabama,25.1,12,-6.5,31.6
AL-029,Cleburne County,Alabama,26.1,19,-4.6,30.7
AL-031,Coffee County,Alabama,30.6,11,-7,37.6
AL-033,Colbert County,Alabama,25.6,30,-3.3,28.9
AL-035,Conecuh County,Alabama,32.2,22,-4.9,37.1
AL-037,Coosa County,Alabama,25.4,5,-7.9,33.3
AL-039,Covington County,Alabama,31.5,18,-5.7,37.2
AL-041,Crenshaw County,Alabama,29,12,-6.8,35.8
AL-043,Cullman County,Alabama,25.8,23,-4.5,30.3
AL-045,Dale County,Alabama,31.2,10,-7.2,38.4
AL-047,Dallas County,Alabama,28.2,5,-8.1,36.3
AL-049,DeKalb County,Alabama,24,14,-6.4,30.4
AL-051,Elmore County,Alabama,27.8,9,-7.2,35
AL-053,Escambia County,Alabama,33.6,24,-4.4,38
AL-055,Etowah County,Alabama,26.6,19,-5.1,31.7
AL-057,Fayette County,Alabama,27.1,21,-5.2,32.3
AL-059,Franklin County,Alabama,26,31,-3.5,29.5
AL-061,Geneva County,Alabama,31.5,9,-6.9,38.4
AL-063,Greene County,Alabama,28.2,11,-6.6,34.8
AL-065,Hale County,Alabama,28,8,-6.9,34.9
AL-067,Henry County,Alabama,31.6,10,-6.8,38.4
AL-069,Houston County,Alabama,32.2,7,-7.2,39.4
AL-071,Jackson County,Alabama,24.1,14,-6,30.1
AL-073,Jefferson County,Alabama,26.8,17,-5.4,32.2
AL-075,Lamar County,Alabama,27.4,24,-4.9,32.3
AL-077,Lauderdale County,Alabama,24.8,27,-3.5,28.3
AL-079,Lawrence County,Alabama,24.9,21,-4.8,29.7
AL-081,Lee County,Alabama,28.7,18,-5.6,34.3
AL-083,Limestone County,Alabama,24.6,20,-4.8,29.4
AL-085,Lowndes County,Alabama,28.7,7,-7.4,36.1
AL-087,Macon County,Alabama,29.3,14,-6.1,35.4
AL-089,Madison County,Alabama,24.8,20,-5.1,29.9
AL-091,Marengo County,Alabama,28.7,10,-7.1,35.8
AL-093,Marion County,Alabama,26.9,31,-3.8,30.7
AL-095,Marshall County,Alabama,26.6,22,-4.7,31.3
AL-097,Mobile County,Alabama,36.1,27,-3.9,40
AL-099,Monroe County,Alabama,32.3,22,-4.8,37.1
AL-101,Montgomery County,Alabama,29,9,-7,36
AL-103,Morgan County,Alabama,25.3,21,-4.8,30.1
AL-105,Perry County,Alabama,27.4,6,-7.6,35
AL-107,Pickens County,Alabama,27.5,17,-6.1,33.6
AL-109,Pike County,Alabama,29.6,10,-7,36.6
AL-111,Randolph County,Alabama,26,19,-5,31
AL-113,Russell County,Alabama,29.9,15,-5.7,35.6
AL-115,St. Clair County,Alabama,25.9,15,-5.7,31.6
AL-117,Shelby County,Alabama,25.8,11,-6.7,32.5
AL-119,Sumter County,Alabama,28.8,13,-6.3,35.1
AL-121,Talladega County,Alabama,25.1,7,-7.3,32.4
AL-123,Tallapoosa County,Alabama,26,10,-6.7,32.7
