# Title: January - December 2025 Contiguous U.S. County Precipitation
# Units: Inches
# Note: Period of Record: 131 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,51.96,65,-1.54,53.5
AL-003,Baldwin County,Alabama,56.2,40,-5.69,61.89
AL-005,Barbour County,Alabama,47.29,37,-5.01,52.3
AL-007,Bibb County,Alabama,51.64,45,-3.53,55.17
AL-009,Blount County,Alabama,55.89,69,0.38,55.51
AL-011,Bullock County,Alabama,49.29,52,-2.79,52.08
AL-013,Butler County,Alabama,47.23,23,-8.48,55.71
AL-015,Calhoun County,Alabama,54.09,72,0.77,53.32
AL-017,Chambers County,Alabama,48.72,42,-4.57,53.29
AL-019,Cherokee County,Alabama,49.11,42,-4.41,53.52
AL-021,Chilton County,Alabama,54.8,74,0.64,54.16
AL-023,Choctaw County,Alabama,49.35,29,-7.46,56.81
AL-025,Clarke County,Alabama,49.49,25,-8.41,57.9
AL-027,Clay County,Alabama,57.16,72,1.37,55.79
AL-029,Cleburne County,Alabama,53.68,69,-0.21,53.89
AL-031,Coffee County,Alabama,50.68,42,-5.52,56.2
AL-033,Colbert County,Alabama,59.29,94,5.74,53.55
AL-035,Conecuh County,Alabama,47.17,15,-10.84,58.01
AL-037,Coosa County,Alabama,54.3,63,-0.31,54.61
AL-039,Covington County,Alabama,47.71,12,-10.92,58.63
AL-041,Crenshaw County,Alabama,50.43,36,-4.94,55.37
AL-043,Cullman County,Alabama,56.85,74,0.78,56.07
AL-045,Dale County,Alabama,47.19,31,-7.2,54.39
AL-047,Dallas County,Alabama,44.7,21,-8.1,52.8
AL-049,DeKalb County,Alabama,51.9,49,-3.54,55.44
AL-051,Elmore County,Alabama,54.26,75,0.83,53.43
AL-053,Escambia County,Alabama,49.16,14,-11.27,60.43
AL-055,Etowah County,Alabama,49.82,42,-4.58,54.4
AL-057,Fayette County,Alabama,62.5,94,6.26,56.24
AL-059,Franklin County,Alabama,59.64,87,4.94,54.7
AL-061,Geneva County,Alabama,49.57,29,-7.64,57.21
AL-063,Greene County,Alabama,57.55,89,4.61,52.94
AL-065,Hale County,Alabama,51.44,60,-2.27,53.71
AL-067,Henry County,Alabama,44.29,23,-9.03,53.32
AL-069,Houston County,Alabama,43.71,17,-10.44,54.15
AL-071,Jackson County,Alabama,55.8,72,1.04,54.76
AL-073,Jefferson County,Alabama,49.47,36,-6.02,55.49
AL-075,Lamar County,Alabama,57.28,79,2.33,54.95
AL-077,Lauderdale County,Alabama,55.63,81,1.64,53.99
AL-079,Lawrence County,Alabama,55.93,81,2.52,53.41
AL-081,Lee County,Alabama,45.57,29,-6.71,52.28
AL-083,Limestone County,Alabama,52.1,58,-1.63,53.73
AL-085,Lowndes County,Alabama,48.08,44,-4.28,52.36
AL-087,Macon County,Alabama,47.76,44,-3.96,51.72
AL-089,Madison County,Alabama,53.93,67,-0.44,54.37
AL-091,Marengo County,Alabama,45.25,16,-8.93,54.18
AL-093,Marion County,Alabama,55.65,70,0.06,55.59
AL-095,Marshall County,Alabama,55.2,72,0.82,54.38
AL-097,Mobile County,Alabama,59.69,50,-2.79,62.48
AL-099,Monroe County,Alabama,47.8,21,-9.44,57.24
AL-101,Montgomery County,Alabama,52.6,73,0.49,52.11
AL-103,Morgan County,Alabama,52.21,59,-1.75,53.96
AL-105,Perry County,Alabama,45.42,22,-8.14,53.56
AL-107,Pickens County,Alabama,58.5,94,5.12,53.38
AL-109,Pike County,Alabama,51.94,58,-2.43,54.37
AL-111,Randolph County,Alabama,51.53,50,-3.11,54.64
AL-113,Russell County,Alabama,42.62,26,-7.22,49.84
AL-115,St. Clair County,Alabama,54.81,63,-0.26,55.07
AL-117,Shelby County,Alabama,53.17,55,-1.66,54.83
AL-119,Sumter County,Alabama,51.46,55,-2.64,54.1
AL-121,Talladega County,Alabama,56.71,79,3.06,53.65
AL-123,Tallapoosa County,Alabama,49.61,46,-4.61,54.22
AL-125,Tuscaloosa County,Alabama,50.52,42,-4.87,55.39
AL-127,Walker County,Alabama,53.25,47,-3.25,56.5
AL-129,Washington County,Alabama,51.88,28,-7.8,59.68
AL-131,Wilcox County,Alabama,44.89,20,-9.36,54.25
AL-133,Winston County,Alabama,56.14,67,-0.28,56.42
AZ-001,Apache County,Arizona,8.6,8,-4.85,13.45
AZ-003,Cochise County,Arizona,10.26,14,-4.37,14.63
AZ-005,Coconino County,Arizona,10.59,26,-3,13.59
AZ-007,Gila County,Arizona,16.6,30,-4.12,20.72
AZ-009,Graham County,Arizona,10.02,11,-5.22,15.24
AZ-011,Greenlee County,Arizona,11.37,13,-5.4,16.77
AZ-012,La Paz County,Arizona,6.24,77,0.28,5.96
AZ-013,Maricopa County,Arizona,8.25,59,-1.01,9.26
AZ-015,Mohave County,Arizona,8.61,42,-1.96,10.57
AZ-017,Navajo County,Arizona,9.55,23,-2.79,12.34
AZ-019,Pima County,Arizona,8.58,16,-3.92,12.5
AZ-021,Pinal County,Arizona,9.1,23,-3.42,12.52
AZ-023,Santa Cruz County,Arizona,13.19,16,-5.24,18.43
AZ-025,Yavapai County,Arizona,16.03,73,-0.24,16.27
AZ-027,Yuma County,Arizona,6.28,103,1.4,4.88
AR-001,Arkansas County,Arkansas,41.66,16,-9.37,51.03
AR-003,Ashley County,Arkansas,56.06,85,2.93,53.13
AR-005,Baxter County,Arkansas,50.61,100,7.23,43.38
AR-007,Benton County,Arkansas,52.39,104,7.09,45.3
AR-009,Boone County,Arkansas,44.39,76,0.74,43.65
AR-011,Bradley County,Arkansas,49.37,56,-2.7,52.07
AR-013,Calhoun County,Arkansas,50.53,65,-1.19,51.72
AR-015,Carroll County,Arkansas,44.47,70,-0.2,44.67
AR-017,Chicot County,Arkansas,57.16,85,4.14,53.02
AR-019,Clark County,Arkansas,47.24,38,-4.4,51.64
AR-021,Clay County,Arkansas,50.78,84,3.03,47.75
AR-023,Cleburne County,Arkansas,48.05,51,-1.93,49.98
AR-025,Cleveland County,Arkansas,47.18,44,-4.43,51.61
AR-027,Columbia County,Arkansas,48.52,56,-2.74,51.26
AR-029,Conway County,Arkansas,55.79,102,6.79,49
AR-031,Craighead County,Arkansas,51.93,88,3.47,48.46
AR-033,Crawford County,Arkansas,53.14,95,5.44,47.7
AR-035,Crittenden County,Arkansas,61.31,114,11.38,49.93
AR-037,Cross County,Arkansas,57.28,105,6.95,50.33
AR-039,Dallas County,Arkansas,46.81,36,-4.56,51.37
AR-041,Desha County,Arkansas,44.95,37,-6.57,51.52
AR-043,Drew County,Arkansas,48.48,55,-4.19,52.67
AR-045,Faulkner County,Arkansas,54.64,96,4.36,50.28
AR-047,Franklin County,Arkansas,53.01,92,4.93,48.08
AR-049,Fulton County,Arkansas,51.8,100,6.58,45.22
AR-051,Garland County,Arkansas,50.08,52,-2.53,52.61
AR-053,Grant County,Arkansas,52.33,80,0.82,51.51
AR-055,Greene County,Arkansas,50.28,82,2.57,47.71
AR-057,Hempstead County,Arkansas,57.44,101,6.75,50.69
AR-059,Hot Spring County,Arkansas,47.68,43,-4.69,52.37
AR-061,Howard County,Arkansas,54.1,79,2.05,52.05
AR-063,Independence County,Arkansas,49.64,72,1.31,48.33
AR-065,Izard County,Arkansas,49.7,90,3.98,45.72
AR-067,Jackson County,Arkansas,51.86,87,3.18,48.68
AR-069,Jefferson County,Arkansas,47.99,54,-3.21,51.2
AR-071,Johnson County,Arkansas,58.84,105,9.43,49.41
AR-073,Lafayette County,Arkansas,52.67,84,2.66,50.01
AR-075,Lawrence County,Arkansas,49.98,84,2.57,47.41
AR-077,Lee County,Arkansas,53.98,73,2.94,51.04
AR-079,Lincoln County,Arkansas,44.63,26,-7.64,52.27
AR-081,Little River County,Arkansas,51.82,80,3.03,48.79
AR-083,Logan County,Arkansas,53.29,100,6.5,46.79
AR-085,Lonoke County,Arkansas,49.39,67,-0.68,50.07
AR-087,Madison County,Arkansas,50.6,87,2.95,47.65
AR-089,Marion County,Arkansas,44.94,73,1.99,42.95
AR-091,Miller County,Arkansas,52.94,87,3.88,49.06
AR-093,Mississippi County,Arkansas,54.11,98,5.61,48.5
AR-095,Monroe County,Arkansas,46.31,41,-4.23,50.54
AR-097,Montgomery County,Arkansas,60.99,105,8.52,52.47
AR-099,Nevada County,Arkansas,55.06,93,3.88,51.18
AR-101,Newton County,Arkansas,45.09,49,-3.1,48.19
AR-103,Ouachita County,Arkansas,48.95,55,-2.5,51.45
AR-105,Perry County,Arkansas,52.25,91,3.28,48.97
AR-107,Phillips County,Arkansas,50.26,62,-1.39,51.65
AR-109,Pike County,Arkansas,56.64,89,3.66,52.98
AR-111,Poinsett County,Arkansas,54.44,104,5.37,49.07
AR-113,Polk County,Arkansas,58.26,95,5.42,52.84
AR-115,Pope County,Arkansas,55.33,100,5.99,49.34
AR-117,Prairie County,Arkansas,45.17,37,-4.91,50.08
AR-119,Pulaski County,Arkansas,53.14,82,2.44,50.7
AR-121,Randolph County,Arkansas,48.48,73,1.29,47.19
AR-123,St. Francis County,Arkansas,56.23,93,5.37,50.86
AR-125,Saline County,Arkansas,51.33,68,-0.82,52.15
AR-127,Scott County,Arkansas,57.2,107,8.85,48.35
AR-129,Searcy County,Arkansas,49.41,81,3,46.41
AR-131,Sebastian County,Arkansas,56,110,10.62,45.38
AR-133,Sevier County,Arkansas,54.11,85,3.43,50.69
AR-135,Sharp County,Arkansas,50.77,87,3.83,46.94
AR-137,Stone County,Arkansas,48.9,74,1.33,47.57
AR-139,Union County,Arkansas,51.97,69,-0.33,52.3
AR-141,Van Buren County,Arkansas,52.66,86,2.17,50.49
AR-143,Washington County,Arkansas,55.18,109,8.09,47.09
AR-145,White County,Arkansas,50.23,70,0.04,50.19
AR-147,Woodruff County,Arkansas,49.27,66,-0.61,49.88
AR-149,Yell County,Arkansas,51.39,88,3.17,48.22
CA-001,Alameda County,California,15.52,40,-3.23,18.75
CA-003,Alpine County,California,37.03,83,0.89,36.14
CA-005,Amador County,California,34.92,72,-0.31,35.23
CA-007,Butte County,California,43.42,64,-0.99,44.41
CA-009,Calaveras County,California,31.58,56,-2.69,34.27
CA-011,Colusa County,California,18.4,40,-3.6,22
CA-013,Contra Costa County,California,14.1,34,-4.39,18.49
CA-015,Del Norte County,California,66.65,35,-13.34,79.99
CA-017,El Dorado County,California,47.3,82,2.66,44.64
CA-019,Fresno County,California,22.1,92,2.5,19.6
CA-021,Glenn County,California,23.92,57,-1.96,25.88
CA-023,Humboldt County,California,66.81,80,3.42,63.39
CA-025,Imperial County,California,3.88,93,0.5,3.38
CA-027,Inyo County,California,8.1,107,1.86,6.24
CA-029,Kern County,California,11.82,108,2.77,9.05
CA-031,Kings County,California,8.91,97,1.3,7.61
CA-033,Lake County,California,41.09,60,-2.37,43.46
CA-035,Lassen County,California,22.75,93,2.35,20.4
CA-037,Los Angeles County,California,20.44,109,4.88,15.56
CA-039,Madera County,California,25.29,88,2.17,23.12
CA-041,Marin County,California,28.94,39,-6.54,35.48
CA-043,Mariposa County,California,33.21,73,0.4,32.81
CA-045,Mendocino County,California,51.5,72,-0.11,51.61
CA-047,Merced County,California,11.37,77,0.1,11.27
CA-049,Modoc County,California,20.79,105,2.72,18.07
CA-051,Mono County,California,17.48,94,1.85,15.63
CA-053,Monterey County,California,20.13,72,0.03,20.1
CA-055,Napa County,California,25.67,43,-5.43,31.1
CA-057,Nevada County,California,53.56,82,3.19,50.37
CA-059,Orange County,California,14.63,92,1.08,13.55
CA-061,Placer County,California,49.09,84,3.32,45.77
CA-063,Plumas County,California,46.12,90,4.91,41.21
CA-065,Riverside County,California,8.07,74,-0.42,8.49
CA-067,Sacramento County,California,16.38,48,-2.31,18.69
CA-069,San Benito County,California,16.81,70,0.07,16.74
CA-071,San Bernardino County,California,7.87,92,1.01,6.86
CA-073,San Diego County,California,11.81,57,-2.48,14.29
CA-075,San Francisco County,California,20.24,42,-4.06,24.3
CA-077,San Joaquin County,California,13.09,57,-0.96,14.05
CA-079,San Luis Obispo County,California,18.69,87,1.53,17.16
CA-081,San Mateo County,California,23.31,41,-5.35,28.66
CA-083,Santa Barbara County,California,25.14,108,6.3,18.84
CA-085,Santa Clara County,California,21.15,57,-1.96,23.11
CA-087,Santa Cruz County,California,28.42,51,-4.63,33.05
CA-089,Shasta County,California,43.29,77,1.35,41.94
CA-091,Sierra County,California,48.15,81,2.4,45.75
CA-093,Siskiyou County,California,37.71,71,-1.1,38.81
CA-095,Solano County,California,16.54,42,-3.25,19.79
CA-097,Sonoma County,California,36.56,47,-5.46,42.02
CA-099,Stanislaus County,California,13.33,67,-0.32,13.65
CA-101,Sutter County,California,16.05,42,-2.93,18.98
CA-103,Tehama County,California,36.05,70,-0.46,36.51
CA-105,Trinity County,California,59.61,76,2.12,57.49
CA-107,Tulare County,California,23.15,88,1.31,21.84
CA-109,Tuolumne County,California,39.69,67,-1.15,40.84
CA-111,Ventura County,California,28.17,108,7.76,20.41
CA-113,Yolo County,California,17.59,48,-2.42,20.01
CA-115,Yuba County,California,36.22,63,-1.51,37.73
CO-001,Adams County,Colorado,14.95,66,-0.22,15.17
CO-003,Alamosa County,Colorado,10.45,71,0.07,10.38
CO-005,Arapahoe County,Colorado,15.36,62,-0.55,15.91
CO-007,Archuleta County,Colorado,18.49,24,-4.91,23.4
CO-009,Baca County,Colorado,16.57,75,0.6,15.97
CO-011,Bent County,Colorado,12.55,47,-1.3,13.85
CO-013,Boulder County,Colorado,17.76,33,-2.32,20.08
CO-014,Broomfield County,Colorado,13.72,53,-1.01,14.73
CO-015,Chaffee County,Colorado,14.83,24,-2.8,17.63
CO-017,Cheyenne County,Colorado,17.31,97,1.96,15.35
CO-019,Clear Creek County,Colorado,22.43,25,-3.61,26.04
CO-021,Conejos County,Colorado,15.46,47,-1.78,17.24
CO-023,Costilla County,Colorado,15.75,41,-1.84,17.59
CO-025,Crowley County,Colorado,10.94,50,-1.04,11.98
CO-027,Custer County,Colorado,17.69,37,-2.78,20.47
CO-029,Delta County,Colorado,11.64,5,-6.04,17.68
CO-031,Denver County,Colorado,13.31,42,-1.71,15.02
CO-033,Dolores County,Colorado,18.23,22,-5.12,23.35
CO-035,Douglas County,Colorado,16.61,46,-1.63,18.24
CO-037,Eagle County,Colorado,17.53,3,-6.52,24.05
CO-039,Elbert County,Colorado,18.17,89,1.6,16.57
CO-041,El Paso County,Colorado,16.93,85,0.91,16.02
CO-043,Fremont County,Colorado,13.72,63,-0.56,14.28
CO-045,Garfield County,Colorado,15.28,3,-7.25,22.53
CO-047,Gilpin County,Colorado,19.86,26,-3.02,22.88
CO-049,Grand County,Colorado,18.87,19,-3.52,22.39
CO-051,Gunnison County,Colorado,17.62,9,-5.64,23.26
CO-053,Hinsdale County,Colorado,27.24,40,-3.71,30.95
CO-055,Huerfano County,Colorado,15.52,34,-2.36,17.88
CO-057,Jackson County,Colorado,19.66,20,-3.49,23.15
CO-059,Jefferson County,Colorado,16.14,36,-2.05,18.19
CO-061,Kiowa County,Colorado,15.52,90,1.31,14.21
CO-063,Kit Carson County,Colorado,18.77,102,1.95,16.82
CO-065,Lake County,Colorado,18.49,7,-5.75,24.24
CO-067,La Plata County,Colorado,18.77,26,-4.66,23.43
CO-069,Larimer County,Colorado,18.29,42,-1.68,19.97
CO-071,Las Animas County,Colorado,13.42,23,-2.84,16.26
CO-073,Lincoln County,Colorado,15.44,85,1.18,14.26
CO-075,Logan County,Colorado,18.39,98,1.76,16.63
CO-077,Mesa County,Colorado,11.53,8,-5.38,16.91
CO-079,Mineral County,Colorado,26.84,41,-3.76,30.6
CO-081,Moffat County,Colorado,10.12,5,-4.75,14.87
CO-083,Montezuma County,Colorado,13.15,19,-4.03,17.18
CO-085,Montrose County,Colorado,10.72,8,-4.8,15.52
CO-087,Morgan County,Colorado,17.58,109,3.06,14.52
CO-089,Otero County,Colorado,10.28,23,-3.1,13.38
CO-091,Ouray County,Colorado,17.17,17,-5.2,22.37
CO-093,Park County,Colorado,14.25,16,-3.13,17.38
CO-095,Phillips County,Colorado,20.99,105,3.06,17.93
CO-097,Pitkin County,Colorado,20.28,2,-8.89,29.17
CO-099,Prowers County,Colorado,16.53,90,1.38,15.15
CO-101,Pueblo County,Colorado,12.59,50,-0.97,13.56
CO-103,Rio Blanco County,Colorado,14.08,10,-4.79,18.87
CO-105,Rio Grande County,Colorado,14.14,60,-0.47,14.61
